input_term,term,industry
University Communications,Media,Media
University Development,Education,Education/Training
University Education/Law Enforcement,Law Enforcement,Law Enforcement/Security
University Finance,Accounting Finance,Accounting/Finance
University Healthcare Administration,Healthcare,Healthcare
University IT,Security,Law Enforcement/Security
University Libraries/Museums,Real Estate,Real Estate
University Staff Administration,Administrative,Administrative
University Tech Transfer,Research,Science/Research
University Technology,Security,Law Enforcement/Security
University admin,Education,Education/Training
University administration / immigration advice,Education,Education/Training
University athletics,Sport,Sport/Leisure
University education,Education,Education/Training
University extension office,Agriculture,Agriculture
University fundraising,Non-Profit,Non-Profit/Volunteering
University instructor,Research,Science/Research
University library,Research,Science/Research
University research,Research,Science/Research
University teaching (economics),Education,Education/Training
Upper Education,Education,Education/Training
Urban Planning,Environmental,Environmental
Urban planner,Human Resources,Human Resources
Urban planning consulting,Consulting,Upper Management/Consulting
Urban policy,Architecture,Engineering/Architecture
User Experience,Architecture,Engineering/Architecture
User Operations / Ed-Tech,Education,Education/Training
User interface web design,Architecture,Engineering/Architecture
Utilities,Internet,Computer/Internet
Utilities - Power,Energy,Oil/Gas/Energy
Utilities Engineering,Engineering,Engineering/Architecture
Utility,Other,Other
Utility Electric Power,Energy,Oil/Gas/Energy
Utility Provider,Energy,Oil/Gas/Energy
Utility worker,Food Service,Restaurant/Food Service
Ux,Architecture,Engineering/Architecture
VC,Finance,Accounting/Finance
VFX,Arts,Arts/Entertainment/Publishing
Vaccine Manufacturing,Manufacturing,Manufacturing/Mechanical
Vape Store,Retail,Retail
Various,Administrative,Administrative
Vascular ultrasound,Science Research,Science/Research
Vehicle,Transportation,Transportation/Logistics
Vehicle manufacter,Manufacturing,Manufacturing/Mechanical
Vending,Restaurant Food Service,Restaurant/Food Service
Venture Capital,Finance,Accounting/Finance
Vetainary,Science Research,Science/Research
Veterinary,Science Research,Science/Research
Veterinary Diagnostics,Healthcare,Healthcare
Veterinary Healthcare,Healthcare,Healthcare
Veterinary Imaging,Science Research,Science/Research
Veterinary Pharmaceuticals,Pharmaceutical,Pharmaceutical/Bio-tech
Veterinary Profession,Science Research,Science/Research
Veterinary Science,Science Research,Science/Research
Veterinary medicine,Science Research,Science/Research
Victim Services,Law Enforcement,Law Enforcement/Security
Video,Advertising,Marketing/Advertising/PR
Video Game Development,Gaming,Gaming
Video Game Industry,Gaming,Gaming
Video Games,Gaming,Gaming
Video Production,Advertising,Marketing/Advertising/PR
Video gaming/Entertainment,Gaming,Gaming
Videogames,Gaming,Gaming
Visual Arts,Arts,Arts/Entertainment/Publishing
Visual Arts (Nonprofit),Arts,Arts/Entertainment/Publishing
Vitamin manufacturing,Manufacturing,Manufacturing/Mechanical
Vocational Rehabilitation,Education Training,Education/Training
Vocational education and training,Education Training,Education/Training
Volunteer Organization,Non-Profit Volunteering,Non-Profit/Volunteering
Waitressing,Restaurant,Restaurant/Food Service
Warehouse,Computer,Computer/Internet
Warehouse maintenance,Logistics,Transportation/Logistics
Warehousing,Logistics,Transportation/Logistics
Warehousing & Logistics,Logistics,Transportation/Logistics
Warehousing - 3rd Party Logistics,Logistics,Transportation/Logistics
Warehousing and Logistics,Logistics,Transportation/Logistics
Warehousing/Logistics,Logistics,Transportation/Logistics
Waste,Oil Gas Energy,Oil/Gas/Energy
Waste Management,Environmental,Environmental
Waste Services,Environmental,Environmental
Waste removal,Customer Service,Customer Service
Waste water reclamation,Agriculture,Agriculture
Wastewater,Agriculture,Agriculture
Wastewater Utility,Environmental,Environmental
Wastewater services,Customer Service,Customer Service
Wastewater treatment,Agriculture,Agriculture
Water,Agriculture,Agriculture
Water Filtration,Environmental,Environmental
Water Infrastructure,Environmental,Environmental
Water Resources,Agriculture,Agriculture
Water Resources Engineering,Engineering,Engineering/Architecture
Water Treatment,Environmental,Environmental
Water Utility,Environmental,Environmental
Water and Wastewater Supplies,Customer Service,Customer Service
Water department,Environmental,Environmental
Water industry (UK),Environmental,Environmental
Water sector / public utilities,Public Sector,Public Sector
Water/Energy,Energy,Oil/Gas/Energy
Water/wastewater,Environmental,Environmental
Wealth Management,Accounting Finance,Accounting/Finance
Web,Customer Service,Customer Service
Web Design,Architecture,Engineering/Architecture
Web Development,Computer Internet,Computer/Internet
Web Domains,Customer Service,Customer Service
Web Marketing,Marketing,Marketing/Advertising/PR
Web Services,Personal Service,Personal Service
Web Technology,Science Research,Science/Research
Web analytics,Research,Science/Research
Web consulting,Consulting,Upper Management/Consulting
Web content management,Upper Management,Upper Management/Consulting
Web development (for education),Education,Education/Training
Web publishing/Media,Publishing,Arts/Entertainment/Publishing
Website & Digital Design,Marketing,Marketing/Advertising/PR
Website Design,Architecture,Engineering/Architecture
Website Design and Marketing,Marketing,Marketing/Advertising/PR
Website Development Consultancy,Consulting,Upper Management/Consulting
Wedding,Entertainment,Arts/Entertainment/Publishing
Weekly community newspaper,Social Community,Social/Community
Wellness,Healthcare,Healthcare
Wellness consumer products,Hospitality Travel,Hospitality/Travel
Wellness/Fitness,Travel,Hospitality/Travel
Wholesale,Retail,Retail
Wholesale Fuel and Diesel,Oil Gas Energy,Oil/Gas/Energy
Wholesale Groceries,Restaurant Food Service,Restaurant/Food Service
Wholesale Grocery,Restaurant Food Service,Restaurant/Food Service
Wholesale Home Furnishings,Retail,Retail
Wholesale Manufacturing,Manufacturing,Manufacturing/Mechanical
Wholesale Supply,Restaurant Food Service,Restaurant/Food Service
Wholesale Trade,Manufacturing,Manufacturing/Mechanical
Wholesale distibutor,Retail,Retail
Wholesale distribution,Retail,Retail
Wholesale lumber,Retail,Retail
Wholesale packaged goods,Retail,Retail
Wildlife Biology,Science Research,Science/Research
Wildlife Management,Agriculture,Agriculture
Wildlife Research,Agriculture,Agriculture
Wind Energy,Energy,Oil/Gas/Energy
Window Treatments,Real Estate,Real Estate
Wine,Computer,Computer/Internet
Wine & Spirits,Travel,Hospitality/Travel
Wine & Spirits Distribution,Travel,Hospitality/Travel
Wine Industry,Travel,Hospitality/Travel
Wine Sales,Sales,Sales
Wine and Spirits,Restaurant,Restaurant/Food Service
Wine tourism (hospitality),Hospitality Travel,Hospitality/Travel
Winery,Travel,Hospitality/Travel
Wire Harness Testing,Manufacturing,Manufacturing/Mechanical
Wireless,Computer Internet,Computer/Internet
Wireless adjacent,Telecommunications,Telecommunications
Withheld,Administrative,Administrative
Work,Administrative,Administrative
Workers Compensation Health Care,Healthcare,Healthcare
Workforce Development,Training,Education/Training
Workforce Development and Training,Training,Education/Training
World wide retail,Retail,Retail
Writing,Administrative,Administrative
Writing and Editing,Publishing,Arts/Entertainment/Publishing
Writing and marketing,Marketing,Marketing/Advertising/PR
"Writing, education adjacent",Education,Education/Training
Writing/Editing,Publishing,Arts/Entertainment/Publishing
Writing/entertainment,Arts Entertainment Publishing,Arts/Entertainment/Publishing
YMCA,Sport Leisure,Sport/Leisure
Ya,Administrative,Administrative
Yacht Building,Project Management,Project Management
Yacht sales,Sales,Sales
YouTuber,Legal,Legal
Your answer,Customer Service,Customer Service
Youth Charity,Non-Profit Volunteering,Non-Profit/Volunteering
Youth Work,Social Community,Social/Community
Zoo,Other,Other
Zoo/animal care,Science Research,Science/Research
Zoology (academic),Science Research,Science/Research
Zoos,Other,Other
a,Other,Other
academia/media,Media,Media
academic biological research,Research,Science/Research
academic intellectual property licensing,Business,Business/Analyst
accessibility/technology,Education,Education/Training
acoustical engineering consulting,Engineering,Engineering/Architecture
administration / construction (union),Construction,Construction/Facilities
adult beverage,Restaurant Food Service,Restaurant/Food Service
advocacy,Social,Social/Community
advocay work,Social,Social/Community
ag tech,Agriculture,Agriculture
agricultural nonprofit,Agriculture,Agriculture
air freight,Transportation Logistics,Transportation/Logistics
aquaria and conservation,Agriculture,Agriculture
army,Military,Government/Military
arts administration/higher ed,Arts,Arts/Entertainment/Publishing
arts management,Arts,Arts/Entertainment/Publishing
automotive repair,Insurance,Insurance
b2b SaaS software,Marketing,Marketing/Advertising/PR
babysitting,Healthcare,Healthcare
banking/ financial services,Banking,Banking/Loans
behavioral health/non-profit,Healthcare,Healthcare
biotech-diagnostics,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
bookseller,Publishing,Arts/Entertainment/Publishing
bookstore,Publishing,Arts/Entertainment/Publishing
business consulting and market research,Upper Management Consulting,Upper Management/Consulting
call center/retail,Customer Service,Customer Service
campground sales /  camping pgs.,Travel,Hospitality/Travel
carpentry,Construction,Construction/Facilities
casino IT,Travel,Hospitality/Travel
certification,Training,Education/Training
chemical manufacturer,Manufacturing,Manufacturing/Mechanical
"chemical, coatings industry",Manufacturing,Manufacturing/Mechanical
civil service (government),Personal Service,Personal Service
clothing distribution,Retail,Retail
college administration,Education,Education/Training
collision repair,Insurance,Insurance
commercial airline,Transportation,Transportation/Logistics
communications consulting,Consulting,Upper Management/Consulting
composites,Manufacturing Mechanical,Manufacturing/Mechanical
computer games,Computer,Computer/Internet
construction fastener sales,Sales,Sales
construction surveying,Construction,Construction/Facilities
controls,Research,Science/Research
corporate office,Retail,Retail
county government IT,Education Training,Education/Training
crash reconstruction,Transportation,Transportation/Logistics
creative -- freelancing,Project Management,Project Management
credit union -finance,Loans,Banking/Loans
criminal justice non-profit,Law Enforcement,Law Enforcement/Security
crop protection,Agriculture,Agriculture
dance education,Education,Education/Training
data science; university enrollment management,Education,Education/Training
dementia care,Healthcare,Healthcare
digital health,Healthcare,Healthcare
digital technology and advertising,Advertising,Marketing/Advertising/PR
documentary filmmaking,Community,Social/Community
drinks,Restaurant,Restaurant/Food Service
e-Commerce/Retail/Marketing,Retail,Retail
eClinical Software,Healthcare,Healthcare
early intervention pediatric therapy,Arts Entertainment Publishing,Arts/Entertainment/Publishing
ed tech startup,Education,Education/Training
editorial,Media,Media
education (public school district),Education,Education/Training
education services,Education,Education/Training
education tech,Education,Education/Training
education/ psychology,Education,Education/Training
education/retired,Education,Education/Training
